"","user_id","condition","total_trials","risk","gain","no_effect","experimental_treatment_selected","key_press","rt","ratio","batch","trial_index","risk_c","gain_c","Intercept","Risk_Beta","Gain_Beta","Interaction_Beta","Risk_sig","Gain_sig","Interaction_sig"
"118","19x3QrYn","Language (spoken)",75,80,10,10,"Yes to treatment",90,612.634999677539,0.125,1,"43",31,-17.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"119","19x3QrYn","Language (spoken)",75,65,20,15,"Yes to treatment",90,687.040000222623,0.307692307692308,1,"44",16,-7.13333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"120","19x3QrYn","Language (spoken)",75,80,15,5,"Yes to treatment",90,793.120000511408,0.1875,1,"45",31,-12.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"121","19x3QrYn","Language (spoken)",75,20,55,25,"Yes to treatment",90,728.985000401735,2.75,1,"46",-29,27.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"122","19x3QrYn","Language (spoken)",75,20,50,30,"No to treatment",90,1626.65500026196,2.5,1,"47",-29,22.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"123","19x3QrYn","Language (spoken)",75,65,10,25,"Yes to treatment",77,621.984999626875,0.153846153846154,1,"48",16,-17.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"124","19x3QrYn","Language (spoken)",75,5,80,15,"No to treatment",90,1304.75500039756,16,1,"49",-44,52.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"125","19x3QrYn","Language (spoken)",75,90,5,5,"Yes to treatment",77,485.975000075996,0.0555555555555556,1,"50",41,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"126","19x3QrYn","Language (spoken)",75,10,10,80,"Yes to treatment",77,1022.78999984264,1,1,"51",-39,-17.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"127","19x3QrYn","Language (spoken)",75,50,15,35,"Yes to treatment",77,438.075000420213,0.3,1,"52",1,-12.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"128","19x3QrYn","Language (spoken)",75,15,10,75,"Yes to treatment",77,1076.40499994159,0.666666666666667,1,"53",-34,-17.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"129","19x3QrYn","Language (spoken)",75,15,5,80,"Yes to treatment",90,4028.70999928564,0.333333333333333,1,"54",-34,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"130","19x3QrYn","Language (spoken)",75,70,25,5,"Yes to treatment",77,727.869999594986,0.357142857142857,1,"55",21,-2.13333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"131","19x3QrYn","Language (spoken)",75,55,30,15,"Yes to treatment",77,689.105000346899,0.545454545454545,1,"56",6,2.86666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"132","19x3QrYn","Language (spoken)",75,85,5,10,"Yes to treatment",77,513.775000348687,0.0588235294117647,1,"57",36,-22.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
